trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,20.96834499994293,21.963608999969438,21.980247400002554,2,down,1,12.790839200024493,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
1,0,1,0,34.78019520000089,35.78041240002494,35.78041240002494,0,up,1,1.7002257999265566,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
2,0,2,0,37.4968548999168,38.497010899940506,38.497010899940506,0,up,1,0.8333282000385225,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
3,0,3,0,39.34669229993597,40.346922699944116,40.346922699944116,0,up,0,0.5193521999754012,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
4,0,4,0,40.896796399960294,41.8970550999511,41.8970550999511,-3,up,0,0.3978307000361383,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
5,0,5,0,42.31348489993252,43.313915199949406,43.313915199949406,0,up,1,0.6449068000074476,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
6,0,6,0,43.980107599985786,44.980369099997915,44.980369099997915,-2,down,1,0.8974806000478566,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
7,0,7,0,45.897000600001775,46.89708319993224,46.89708319993224,-5,up,0,0.8325951000442728,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
8,0,8,0,47.746835400001146,48.74666679999791,48.74666679999791,-1,up,0,0.7613965999335051,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
9,0,9,0,49.53025069995783,50.53044040000532,50.53044040000532,2,down,1,0.8577690999954939,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
10,0,10,0,51.413481099996716,52.4136598999612,52.4136598999612,1,up,0,0.9741802000207826,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
11,0,11,0,53.41352860000916,54.41384399996605,54.41384399996605,0,up,1,0.7462905999273062,None,212644,001,2023-09-13_12h39.17.901,orientation discrimination,2023.1.3,59.95725047597206,
